domain,price_usd,bids,auction_end_utc,auction_type,detail_url,domain_rating,ahrefs_rank,org_keywords,org_traffic,org_traffic_value_usd,ahrefs_report_date,ahrefs_fetched_utc,error
academiawritings.com,5.0,,,,,1.3,49709953,0,0,,2026-04-05,2026-04-06T06:41:18.309704+00:00,
rboose.com,15.0,,,,,2.9,36337211,0,0,,2026-04-05,2026-04-06T06:41:22.430563+00:00,
puppywise.com,15.0,,,,,0.0,171978911,0,0,,2026-04-05,2026-04-06T06:41:25.303386+00:00,
culturalrelativity.com,15.0,,,,,0.0,140716943,0,0,,2026-04-05,2026-04-06T06:41:28.764940+00:00,
bankloansdirect.com,5.0,,,,,1.2,50067524,0,0,,2026-04-05,2026-04-06T06:41:32.504199+00:00,
zsydled.com,1.0,,,,,2.3,61645197,0,0,,2026-04-05,2026-04-06T06:41:35.086075+00:00,
manicmoms.com,5.0,,,,,0.0,292786434,0,0,,2026-04-05,2026-04-06T06:41:38.096585+00:00,
bakerbookretail.com,15.0,,,,,2.8,36917343,0,0,,2026-04-05,2026-04-06T06:41:40.708654+00:00,
dairytreats.com,15.0,,,,,1.2,50705259,0,0,,2026-04-05,2026-04-06T06:41:43.317773+00:00,
mochisgifts.com,15.0,,,,,0.0,121762973,2,0,0.0,2026-04-05,2026-04-06T06:41:47.102422+00:00,
originalmoney.com,15.0,,,,,0.0,123583324,0,0,,2026-04-05,2026-04-06T06:41:49.969920+00:00,
medsin.org,15.0,,,,,32.0,3032128,0,0,,2026-04-05,2026-04-06T06:41:52.573828+00:00,
sleepapneadevice.com,5.0,,,,,0.0,341973189,0,0,,2026-04-05,2026-04-06T06:41:55.124005+00:00,
micdigi.com,1.0,,,,,7.0,22233077,0,0,,2026-04-05,2026-04-06T06:41:58.554246+00:00,
dizisinema.com,15.0,,,,,0.1,76557247,0,0,,2026-04-05,2026-04-06T06:42:01.617388+00:00,
pupbeddings.com,5.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:42:04.186581+00:00,
pupbedding.com,5.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:42:06.765101+00:00,
besthealthfast.com,5.0,,,,,0.0,133410588,0,0,,2026-04-05,2026-04-06T06:42:09.361732+00:00,
startgpt.com,15.0,,,,,0.0,91592456,0,0,,2026-04-05,2026-04-06T06:42:11.971215+00:00,
ciriacohotel.com,5.0,,,,,0.3,69526443,0,0,,2026-04-05,2026-04-06T06:42:14.840540+00:00,
electricvehicletrader.com,5.0,,,,,0.0,261889093,0,0,,2026-04-05,2026-04-06T06:42:18.196229+00:00,
lattro.com,5.0,,,,,0.0,153637433,0,0,,2026-04-05,2026-04-06T06:42:20.734923+00:00,
orderdonanatys.com,5.0,,,,,0.0,127478993,0,0,,2026-04-05,2026-04-06T06:42:24.202249+00:00,
risecanada.com,15.0,,,,,4.4,29495691,0,0,,2026-04-05,2026-04-06T06:42:27.616911+00:00,
helogic.com,5.0,,,,,0.0,331260148,0,0,,2026-04-05,2026-04-06T06:42:30.982978+00:00,
skincarepanda.com,5.0,,,,,0.5,63636959,0,0,,2026-04-05,2026-04-06T06:42:33.624435+00:00,
cestraspizzabronx.com,15.0,,,,,0.0,256098285,0,0,,2026-04-05,2026-04-06T06:42:36.222590+00:00,
soulfoodcafelasvegas.com,15.0,,,,,0.0,197917449,0,0,,2026-04-05,2026-04-06T06:42:38.783430+00:00,
tijuanasmexicankitchenlincolnpark.com,15.0,,,,,0.0,209135188,0,0,,2026-04-05,2026-04-06T06:42:41.786064+00:00,
lascazuelitascrystallake.com,15.0,,,,,0.0,141135754,0,0,,2026-04-05,2026-04-06T06:42:44.442479+00:00,
montecristomexicangrilldinner.com,15.0,,,,,3.7,32214390,0,0,,2026-04-05,2026-04-06T06:42:47.783307+00:00,
lemongrassthaicuisinepetaluma.com,15.0,,,,,0.9,54977081,0,0,,2026-04-05,2026-04-06T06:42:51.365483+00:00,
milkandhoneycafechicago.com,5.0,,,,,0.0,130743822,0,0,,2026-04-05,2026-04-06T06:42:54.048979+00:00,
eriksdelicafesanjose.com,5.0,,,,,0.0,129523742,0,0,,2026-04-05,2026-04-06T06:42:57.631257+00:00,
twoforksnewyork.com,15.0,,,,,0.1,81277334,0,0,,2026-04-05,2026-04-06T06:43:00.528004+00:00,
hadleyleelightcap.com,15.0,,,,,4.5,28676232,0,0,,2026-04-05,2026-04-06T06:43:03.207209+00:00,
consejoaldia.com,15.0,,,,,0.8,57211428,13,0,0.0,2026-04-05,2026-04-06T06:43:07.198996+00:00,
knowhours.com,15.0,,,,,3.4,33480604,0,0,,2026-04-05,2026-04-06T06:43:10.864867+00:00,
fromsarahlex.com,15.0,,,,,9.0,17682422,0,0,,2026-04-05,2026-04-06T06:43:13.592311+00:00,
815outside.com,15.0,,,,,4.7,28115519,0,0,,2026-04-05,2026-04-06T06:43:16.980476+00:00,
designcreatic.com,15.0,,,,,3.8,31668715,0,0,,2026-04-05,2026-04-06T06:43:19.634571+00:00,
electricbassmusic.com,1.0,,,,,0.9,54152074,3,0,0.0,2026-04-05,2026-04-06T06:43:23.027258+00:00,
computeridea.net,1.0,,,,,7.0,22215679,0,0,,2026-04-05,2026-04-06T06:43:26.113546+00:00,
dkwiperblade.com,15.0,,,,,0.0,247819705,0,0,,2026-04-05,2026-04-06T06:43:28.656263+00:00,
healthinflames.com,15.0,,,,,5.0,26038696,5,1,0.0,2026-04-05,2026-04-06T06:43:31.277252+00:00,
kitchenstownsville.com,1.0,,,,,0.3,68331717,0,0,,2026-04-05,2026-04-06T06:43:34.668914+00:00,
komibrand.com,15.0,,,,,5.0,26476814,6,0,0.0,2026-04-05,2026-04-06T06:43:38.726351+00:00,
usd1pay.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:43:42.107358+00:00,
doubledowndivers.com,15.0,,,,,0.0,105932879,0,0,,2026-04-05,2026-04-06T06:43:45.508082+00:00,
bookingtwo.com,15.0,,,,,3.4,33843658,0,0,,2026-04-05,2026-04-06T06:43:48.103380+00:00,
fobet.net,15.0,,,,,0.0,239200280,0,0,,2026-04-05,2026-04-06T06:43:50.761779+00:00,
haryanakaushalrojgarnigam.com,15.0,,,,,23.0,6612134,0,0,,2026-04-05,2026-04-06T06:43:53.453304+00:00,
mybrainboxapp.com,15.0,,,,,12.0,13924537,2,0,0.0,2026-04-05,2026-04-06T06:43:56.993151+00:00,
turbobuicks.net,15.0,,,,,1.1,52489077,0,0,,2026-04-05,2026-04-06T06:43:59.543666+00:00,
legaltrt.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:44:03.190977+00:00,
winacess.com,15.0,,,,,17.0,9959346,0,0,,2026-04-05,2026-04-06T06:44:06.581022+00:00,
sweetyescorts.com,15.0,,,,,0.0,85215445,0,0,,2026-04-05,2026-04-06T06:44:09.177294+00:00,
ruposhilifestyle.com,15.0,,,,,0.0,142372752,1,6,,2026-04-05,2026-04-06T06:44:12.511416+00:00,
homecleanmasters.com,15.0,,,,,35.0,2493973,0,0,,2026-04-05,2026-04-06T06:44:16.431973+00:00,
masalazedmonton.com,15.0,,,,,0.4,66506744,55,1,0.1,2026-04-05,2026-04-06T06:44:20.022559+00:00,
doebgenglish.com,5.0,,,,,0.0,135149921,1,0,,2026-04-05,2026-04-06T06:44:22.651513+00:00,
artesanosdeoaxaca.com,1.0,,,,,0.0,96792958,4,0,0.01,2026-04-05,2026-04-06T06:44:26.181992+00:00,
brandterm.com,15.0,,,,,0.0,146003445,0,0,,2026-04-05,2026-04-06T06:44:29.622760+00:00,
panphuket.com,15.0,,,,,0.0,95655696,0,0,,2026-04-05,2026-04-06T06:44:32.729855+00:00,
ackleyheritagecenter.com,15.0,,,,,0.2,74426670,0,0,,2026-04-05,2026-04-06T06:44:35.971491+00:00,
edmontoncatcafe.com,15.0,,,,,2.4,39768238,0,0,,2026-04-05,2026-04-06T06:44:38.808418+00:00,
doctormuerte.com,15.0,,,,,6.0,24400701,0,0,,2026-04-05,2026-04-06T06:44:42.160798+00:00,
glp1status.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:44:44.856728+00:00,
glp1marketplace.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:44:47.403854+00:00,
nujoomalkhanlandrover.com,15.0,,,,,3.4,33459721,0,0,,2026-04-05,2026-04-06T06:44:50.058957+00:00,
vuviphimmoi.com,15.0,,,,,1.5,47190411,0,0,,2026-04-05,2026-04-06T06:44:52.813106+00:00,
thefoodhound.com,5.0,,,,,0.5,61593033,0,0,,2026-04-05,2026-04-06T06:44:55.359664+00:00,
drcristopherbeas.com,5.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:44:58.792042+00:00,
cricketmela.com,5.0,,,,,0.0,123710266,10,0,0.0,2026-04-05,2026-04-06T06:45:01.521861+00:00,
ihlresearch.org,15.0,,,,,24.0,6598132,0,0,,2026-04-05,2026-04-06T06:45:04.163715+00:00,
missionhealthforward.org,15.0,,,,,8.0,19051558,0,0,,2026-04-05,2026-04-06T06:45:06.748966+00:00,
getpurple.co,1.0,,,,,7.0,21382210,0,0,,2026-04-05,2026-04-06T06:45:09.488927+00:00,
phimvietsub.org,15.0,,,,,3.7,32333159,0,0,,2026-04-05,2026-04-06T06:45:13.067562+00:00,
amanahfoundation.org,15.0,,,,,3.1,35088760,0,0,,2026-04-05,2026-04-06T06:45:15.664006+00:00,
alnoorhalaldelibrooklyn.net,15.0,,,,,0.2,74292792,1,0,0.01,2026-04-05,2026-04-06T06:45:18.537957+00:00,
totbet.net,1.0,,,,,1.0,53486958,0,0,,2026-04-05,2026-04-06T06:45:21.646194+00:00,
redchilisyracuse.net,5.0,,,,,0.0,131123559,0,0,,2026-04-05,2026-04-06T06:45:24.127208+00:00,
f8betwin.co,15.0,,,,,14.0,12308859,0,0,,2026-04-05,2026-04-06T06:45:27.320559+00:00,
asedan.net,15.0,,,,,3.4,33454036,0,0,,2026-04-05,2026-04-06T06:45:31.395369+00:00,
apindoaceh.org,15.0,,,,,1.4,47974182,0,0,,2026-04-05,2026-04-06T06:45:34.127076+00:00,
lidan1.com,15.0,,,,,0.0,,13,8,0.01,2026-04-05,2026-04-06T06:45:37.910454+00:00,
iglesiabellavista.org,15.0,,,,,1.7,45320254,0,0,,2026-04-05,2026-04-06T06:45:41.493882+00:00,
joomlatags.org,15.0,,,,,44.0,1119287,0,0,,2026-04-05,2026-04-06T06:45:44.065317+00:00,
hzxh.com,126.0,,,,,0.0,121897192,0,0,,2026-04-05,2026-04-06T06:45:46.587339+00:00,
siqc.com,130.0,,,,,0.0,231968027,0,0,,2026-04-05,2026-04-06T06:45:49.715054+00:00,
nyxw.com,102.0,,,,,0.0,137784737,0,0,,2026-04-05,2026-04-06T06:45:52.865886+00:00,
prayline.com,100.0,,,,,0.0,138363789,0,0,,2026-04-05,2026-04-06T06:45:56.232277+00:00,
keonhacai79.net,63.0,,,,,17.0,9798675,0,0,,2026-04-05,2026-04-06T06:45:59.464382+00:00,
revived.org,117.0,,,,,0.0,122513313,1,0,0.0,2026-04-05,2026-04-06T06:46:01.985242+00:00,
agencyblast.com,11.0,,,,,0.0,105865511,0,0,,2026-04-05,2026-04-06T06:46:05.207885+00:00,
ujh.net,103.0,,,,,0.0,123235871,0,0,,2026-04-05,2026-04-06T06:46:07.882417+00:00,
mylarcomics.com,160.0,,,,,11.0,15107470,4,67,2.25,2026-04-05,2026-04-06T06:46:10.995505+00:00,
glptracker.com,15.0,,,,,0.1,81567742,0,0,,2026-04-05,2026-04-06T06:46:14.509695+00:00,
geelinc.com,15.0,,,,,0.0,261884452,0,0,,2026-04-05,2026-04-06T06:46:17.761784+00:00,
litetype.com,1.0,,,,,2.7,37390487,0,0,,2026-04-05,2026-04-06T06:46:21.292982+00:00,
fishaholiccharters.com,15.0,,,,,0.1,78337491,0,0,,2026-04-05,2026-04-06T06:46:25.425353+00:00,
adamjstevenson.com,15.0,,,,,0.0,171028323,0,0,,2026-04-05,2026-04-06T06:46:28.215811+00:00,
designersalt.com,15.0,,,,,0.0,341449883,0,0,,2026-04-05,2026-04-06T06:46:31.524424+00:00,
neutroncreations.com,15.0,,,,,25.0,6106250,0,0,,2026-04-05,2026-04-06T06:46:35.155700+00:00,
farmculture.com,15.0,,,,,1.0,53886720,1,0,0.0,2026-04-05,2026-04-06T06:46:37.716109+00:00,
studiotphotos.com,15.0,,,,,0.0,91068543,0,0,,2026-04-05,2026-04-06T06:46:41.337822+00:00,
aleimanroyalhotel.com,1.0,,,,,2.9,36496420,0,0,,2026-04-05,2026-04-06T06:46:45.069368+00:00,
carolinacashoffers.com,15.0,,,,,1.2,50702990,0,0,,2026-04-05,2026-04-06T06:46:49.131574+00:00,
kalamnawaem.com,15.0,,,,,2.2,41190283,0,0,,2026-04-05,2026-04-06T06:46:52.563594+00:00,
namat.net,15.0,,,,,0.0,108324950,0,0,,2026-04-05,2026-04-06T06:46:55.127567+00:00,
eitherand.org,15.0,,,,,16.0,10781878,0,0,,2026-04-05,2026-04-06T06:46:58.217428+00:00,
lvcheesesteaks.com,15.0,,,,,14.0,12415251,0,0,,2026-04-05,2026-04-06T06:47:00.772519+00:00,
writinghaha.com,15.0,,,,,0.0,148649348,0,0,,2026-04-05,2026-04-06T06:47:03.976793+00:00,
cfrobotics.com,15.0,,,,,0.0,137347793,0,0,,2026-04-05,2026-04-06T06:47:07.058258+00:00,
hostapollo.com,15.0,,,,,0.0,130729377,0,0,,2026-04-05,2026-04-06T06:47:09.597884+00:00,
nomostore.com,15.0,,,,,0.0,160880775,0,0,,2026-04-05,2026-04-06T06:47:12.149963+00:00,
okana.org,15.0,,,,,22.0,7278901,0,0,,2026-04-05,2026-04-06T06:47:14.763847+00:00,
apigacor888.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:47:17.346915+00:00,
xsmb90ngay.com,15.0,,,,,2.2,41045913,1,0,,2026-04-05,2026-04-06T06:47:20.784971+00:00,
clawfrenzy.com,15.0,,,,,16.0,10597543,0,0,,2026-04-05,2026-04-06T06:47:24.949420+00:00,
siberianhuskyklub.com,1.0,,,,,23.0,6750221,0,0,,2026-04-05,2026-04-06T06:47:27.652101+00:00,
bclub.co,15.0,,,,,0.0,84487845,0,0,,2026-04-05,2026-04-06T06:47:30.206975+00:00,
cuerpoenmovimiento.org,15.0,,,,,7.0,21379743,61,31,0.06,2026-04-05,2026-04-06T06:47:33.542122+00:00,
go77.net,15.0,,,,,0.0,271919483,0,0,,2026-04-05,2026-04-06T06:47:37.027774+00:00,
academicwritingtips.org,15.0,,,,,22.0,7205817,0,0,,2026-04-05,2026-04-06T06:47:39.482267+00:00,
apigacor888.org,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:47:42.228037+00:00,
puisitoto.net,15.0,,,,,1.3,67404790,0,0,,2026-04-05,2026-04-06T06:47:44.726924+00:00,
mpogacor88.org,15.0,,,,,0.1,80032924,0,0,,2026-04-05,2026-04-06T06:47:47.371815+00:00,
petir388.net,15.0,,,,,0.1,122620610,0,0,,2026-04-05,2026-04-06T06:47:50.402548+00:00,
sqi.org,108.0,,,,,0.0,122225164,0,0,,2026-04-05,2026-04-06T06:47:53.241794+00:00,
mmj.org,57.0,,,,,6.0,25087611,0,0,,2026-04-05,2026-04-06T06:47:55.750302+00:00,
electroniccigarettehub.org,15.0,,,,,0.5,61780632,0,0,,2026-04-05,2026-04-06T06:47:58.522178+00:00,
sustainablefinanceasia.org,15.0,,,,,15.0,10971342,0,0,,2026-04-05,2026-04-06T06:48:01.583719+00:00,
nyqa.com,160.0,,,,,0.0,229353562,0,0,,2026-04-05,2026-04-06T06:48:04.511697+00:00,
nyzk.com,165.0,,,,,0.0,133850212,0,0,,2026-04-05,2026-04-06T06:48:06.956676+00:00,
novafree.com,30.0,,,,,0.0,176236378,0,0,,2026-04-05,2026-04-06T06:48:09.799288+00:00,
brainiful.com,220.0,,,,,0.0,245128547,0,0,,2026-04-05,2026-04-06T06:48:12.246026+00:00,
webaware.com,116.0,,,,,2.5,39252658,1,0,,2026-04-05,2026-04-06T06:48:14.988676+00:00,
alldrives.com,26.0,,,,,0.0,87237543,0,0,,2026-04-05,2026-04-06T06:48:18.341607+00:00,
hongcoin.com,21.0,,,,,0.0,128556234,0,0,,2026-04-05,2026-04-06T06:48:21.002652+00:00,
hostspicy.com,165.0,,,,,2.5,39018981,0,0,,2026-04-05,2026-04-06T06:48:26.861127+00:00,
nymj.com,171.0,,,,,0.0,235309281,0,0,,2026-04-05,2026-04-06T06:48:29.339393+00:00,
adobeclasses.com,21.0,,,,,0.0,229532270,0,0,,2026-04-05,2026-04-06T06:48:31.813253+00:00,
chubbyparade.com,125.0,,,,,21.0,7421926,0,0,,2026-04-05,2026-04-06T06:48:34.435754+00:00,
socialgamesclub.com,3.0,,,,,0.0,132499309,0,0,,2026-04-05,2026-04-06T06:48:37.418328+00:00,
pcacademia.com,103.0,,,,,2.8,37132834,322,5,0.13,2026-04-05,2026-04-06T06:48:40.076184+00:00,
sgnic.net,15.0,,,,,0.0,130447654,0,0,,2026-04-05,2026-04-06T06:48:42.569426+00:00,
ntayart.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:48:45.108643+00:00,
pharmcheap.com,16.0,,,,,25.0,5838666,0,0,,2026-04-05,2026-04-06T06:48:47.835694+00:00,
slovaktv.com,15.0,,,,,0.0,134454088,0,0,,2026-04-05,2026-04-06T06:48:50.826261+00:00,
ibsportal.com,1.0,,,,,0.0,136270010,0,0,,2026-04-05,2026-04-06T06:48:53.452000+00:00,
ozebytes.com,1.0,,,,,0.0,239385775,0,0,,2026-04-05,2026-04-06T06:48:55.911442+00:00,
alemanadas.com,15.0,,,,,37.0,1999662,0,0,,2026-04-05,2026-04-06T06:48:59.084476+00:00,
dodgydock.com,15.0,,,,,6.0,25413262,0,0,,2026-04-05,2026-04-06T06:49:01.725190+00:00,
grabevent.com,1.0,,,,,0.0,225473569,0,0,,2026-04-05,2026-04-06T06:49:04.278959+00:00,
photoartletters.com,1.0,,,,,0.0,224196025,0,0,,2026-04-05,2026-04-06T06:49:06.951865+00:00,
perfectxpic.com,15.0,,,,,0.0,122239128,0,0,,2026-04-05,2026-04-06T06:49:09.637535+00:00,
crmcourses.com,15.0,,,,,0.2,73780220,0,0,,2026-04-05,2026-04-06T06:49:12.146473+00:00,
localima.org,15.0,,,,,10.0,16817208,0,0,,2026-04-05,2026-04-06T06:49:16.872416+00:00,
modhaha.com,15.0,,,,,11.0,14665800,60,41,1.73,2026-04-05,2026-04-06T06:49:19.873116+00:00,
wisaaam.com,15.0,,,,,22.0,7366268,5,5,1.03,2026-04-05,2026-04-06T06:49:22.979965+00:00,
truebelieverthemovie.com,15.0,,,,,0.9,55298921,0,0,,2026-04-05,2026-04-06T06:49:26.088616+00:00,
studiolube.com,15.0,,,,,0.0,106789203,0,0,,2026-04-05,2026-04-06T06:49:29.276981+00:00,
propfirmtradecopier.com,15.0,,,,,0.0,219565204,0,0,,2026-04-05,2026-04-06T06:49:32.211639+00:00,
recoupdigitalassets.com,1.0,,,,,0.0,324988464,0,0,,2026-04-05,2026-04-06T06:49:35.760342+00:00,
celebritiesnetworthnews.com,15.0,,,,,1.1,52323274,1,9,,2026-04-05,2026-04-06T06:49:38.557382+00:00,
loonairflavors.com,15.0,,,,,3.8,31777886,0,0,,2026-04-05,2026-04-06T06:49:41.069800+00:00,
soicau247mienphi.com,15.0,,,,,0.0,268299097,0,0,,2026-04-05,2026-04-06T06:49:44.635114+00:00,
soicau247chinhxac.com,15.0,,,,,0.0,268375973,0,0,,2026-04-05,2026-04-06T06:49:47.431349+00:00,
rentyourdigs.com,15.0,,,,,0.0,,0,0,,2026-04-05,2026-04-06T06:49:50.989662+00:00,
icilder.org,15.0,,,,,8.0,19607916,0,0,,2026-04-05,2026-04-06T06:49:54.133010+00:00,
briannascafe.net,15.0,,,,,0.3,67755624,9,18,0.07,2026-04-05,2026-04-06T06:49:57.322241+00:00,
club2market.com,15.0,,,,,1.7,45038672,0,0,,2026-04-05,2026-04-06T06:49:59.814296+00:00,
soicau247mienphi.net,15.0,,,,,0.0,241617974,0,0,,2026-04-05,2026-04-06T06:50:02.335725+00:00,
soicau247chinhxac.net,15.0,,,,,0.0,242114994,0,0,,2026-04-05,2026-04-06T06:50:04.944035+00:00,
slaverystories.org,15.0,,,,,6.0,25070191,0,0,,2026-04-05,2026-04-06T06:50:08.051899+00:00,
regionvsoccer.org,15.0,,,,,4.8,27559876,0,0,,2026-04-05,2026-04-06T06:50:10.610269+00:00,
talert.com,161.0,,,,,0.0,143773790,0,0,,2026-04-05,2026-04-06T06:50:13.378500+00:00,
foqq.com,240.59,,,,,0.0,231810457,0,0,,2026-04-05,2026-04-06T06:50:17.239366+00:00,
xdrb.com,255.0,,,,,0.0,131930445,0,0,,2026-04-05,2026-04-06T06:50:20.712946+00:00,
cashbackdeals.com,180.0,,,,,0.4,65368797,0,0,,2026-04-05,2026-04-06T06:50:23.249048+00:00,
gentry.co,155.0,,,,,0.0,318143894,0,0,,2026-04-05,2026-04-06T06:50:26.055401+00:00,
olivertrip.com,230.0,,,,,13.0,12733180,0,0,,2026-04-05,2026-04-06T06:50:28.547933+00:00,
braziltour.com,51.0,,,,,45.0,993909,0,0,,2026-04-05,2026-04-06T06:50:32.070227+00:00,
softcos.com,20.0,,,,,0.0,88621654,0,0,,2026-04-05,2026-04-06T06:50:34.604921+00:00,
cordobabuenasnoticias.com,41.0,,,,,31.0,3404741,0,0,,2026-04-05,2026-04-06T06:50:37.233715+00:00,
